Source,Target,Weight,Type
alciphron_gb,epistles_gb,2,undirected
alciphron_gb,evenings_gb,609,undirected
alciphron_gb,fables_holy_gb,924,undirected
alciphron_gb,lalla_gb,493,undirected
alciphron_gb,loves_angels_gb,1391,undirected
alciphron_gb,sacred_gb,111,undirected
anacreon_gb,epistles_gb,1219,undirected
anacreon_gb,fables_holy_gb,241,undirected
anacreon_gb,intercepted_gb,86,undirected
anacreon_gb,lalla_gb,631,undirected
anacreon_gb,little_gb,167,undirected
anacreon_gb,melodies_gb,181,undirected
anacreon_gb,tom_crib_gb,219,undirected
cash_corn_gb,corruption_gb,4,undirected
cash_corn_gb,fables_holy_gb,129,undirected
cash_corn_gb,fudges_england_gb,768,undirected
cash_corn_gb,fudges_paris_gb,2104,undirected
cash_corn_gb,intercepted_gb,1943,undirected
cash_corn_gb,tom_crib_gb,981,undirected
corruption_gb,cash_corn_gb,4,undirected
corruption_gb,epistles_gb,850,undirected
corruption_gb,fables_holy_gb,1059,undirected
corruption_gb,intercepted_gb,1,undirected
corruption_gb,lalla_gb,99,undirected
corruption_gb,sceptic_gb,256,undirected
corruption_gb,tom_crib_gb,205,undirected
epistles_gb,alciphron_gb,2,undirected
epistles_gb,anacreon_gb,1219,undirected
epistles_gb,corruption_gb,850,undirected
epistles_gb,evenings_gb,109,undirected
epistles_gb,fables_holy_gb,1661,undirected
epistles_gb,lalla_gb,1152,undirected
epistles_gb,little_gb,1302,undirected
epistles_gb,loves_angels_gb,857,undirected
epistles_gb,melodies_gb,2315,undirected
epistles_gb,national_gb,309,undirected
epistles_gb,sacred_gb,799,undirected
epistles_gb,sceptic_gb,12,undirected
epistles_gb,summerfete_gb,883,undirected
evenings_gb,alciphron_gb,609,undirected
evenings_gb,epistles_gb,109,undirected
evenings_gb,lalla_gb,919,undirected
evenings_gb,loves_angels_gb,14,undirected
evenings_gb,melodies_gb,8,undirected
evenings_gb,national_gb,67,undirected
evenings_gb,sacred_gb,11,undirected
evenings_gb,summerfete_gb,1648,undirected
fables_holy_gb,alciphron_gb,924,undirected
fables_holy_gb,anacreon_gb,241,undirected
fables_holy_gb,cash_corn_gb,129,undirected
fables_holy_gb,corruption_gb,1059,undirected
fables_holy_gb,epistles_gb,1661,undirected
fables_holy_gb,fudges_england_gb,30,undirected
fables_holy_gb,fudges_paris_gb,285,undirected
fables_holy_gb,lalla_gb,2308,undirected
fables_holy_gb,little_gb,38,undirected
fables_holy_gb,loves_angels_gb,751,undirected
fables_holy_gb,melodies_gb,410,undirected
fables_holy_gb,sacred_gb,18,undirected
fables_holy_gb,sceptic_gb,771,undirected
fables_holy_gb,summerfete_gb,738,undirected
fudges_england_gb,cash_corn_gb,768,undirected
fudges_england_gb,fables_holy_gb,30,undirected
fudges_england_gb,fudges_paris_gb,2075,undirected
fudges_england_gb,intercepted_gb,1272,undirected
fudges_england_gb,sceptic_gb,141,undirected
fudges_england_gb,tom_crib_gb,10,undirected
fudges_paris_gb,cash_corn_gb,2104,undirected
fudges_paris_gb,fables_holy_gb,285,undirected
fudges_paris_gb,fudges_england_gb,2075,undirected
fudges_paris_gb,intercepted_gb,1424,undirected
fudges_paris_gb,little_gb,233,undirected
fudges_paris_gb,tom_crib_gb,270,undirected
intercepted_gb,anacreon_gb,86,undirected
intercepted_gb,cash_corn_gb,1943,undirected
intercepted_gb,corruption_gb,1,undirected
intercepted_gb,fudges_england_gb,1272,undirected
intercepted_gb,fudges_paris_gb,1424,undirected
