Source,Target,Weight,Type
alciphron_gb,evenings_gb,377,undirected
alciphron_gb,fables_holy_gb,430,undirected
alciphron_gb,lalla_gb,840,undirected
alciphron_gb,loves_angels_gb,1752,undirected
alciphron_gb,summerfete_gb,34,undirected
anacreon_gb,epistles_gb,1208,undirected
anacreon_gb,fudges_england_gb,39,undirected
anacreon_gb,lalla_gb,647,undirected
anacreon_gb,little_gb,774,undirected
anacreon_gb,melodies_gb,1,undirected
anacreon_gb,sacred_gb,11,undirected
anacreon_gb,tom_crib_gb,282,undirected
cash_corn_gb,fables_holy_gb,274,undirected
cash_corn_gb,fudges_england_gb,1299,undirected
cash_corn_gb,fudges_paris_gb,2406,undirected
cash_corn_gb,intercepted_gb,1755,undirected
cash_corn_gb,summerfete_gb,4,undirected
cash_corn_gb,tom_crib_gb,1218,undirected
corruption_gb,epistles_gb,385,undirected
corruption_gb,fables_holy_gb,1039,undirected
corruption_gb,intercepted_gb,42,undirected
corruption_gb,lalla_gb,188,undirected
corruption_gb,sceptic_gb,423,undirected
corruption_gb,summerfete_gb,14,undirected
corruption_gb,tom_crib_gb,738,undirected
epistles_gb,anacreon_gb,1208,undirected
epistles_gb,corruption_gb,385,undirected
epistles_gb,fables_holy_gb,1222,undirected
epistles_gb,fudges_england_gb,11,undirected
epistles_gb,fudges_paris_gb,2,undirected
epistles_gb,intercepted_gb,19,undirected
epistles_gb,lalla_gb,1695,undirected
epistles_gb,little_gb,1722,undirected
epistles_gb,loves_angels_gb,126,undirected
epistles_gb,melodies_gb,1439,undirected
epistles_gb,national_gb,656,undirected
epistles_gb,sacred_gb,511,undirected
epistles_gb,sceptic_gb,31,undirected
epistles_gb,summerfete_gb,63,undirected
epistles_gb,tom_crib_gb,16,undirected
evenings_gb,alciphron_gb,377,undirected
evenings_gb,fables_holy_gb,175,undirected
evenings_gb,lalla_gb,1308,undirected
evenings_gb,melodies_gb,131,undirected
evenings_gb,national_gb,116,undirected
evenings_gb,sacred_gb,4,undirected
evenings_gb,summerfete_gb,1768,undirected
fables_holy_gb,alciphron_gb,430,undirected
fables_holy_gb,cash_corn_gb,274,undirected
fables_holy_gb,corruption_gb,1039,undirected
fables_holy_gb,epistles_gb,1222,undirected
fables_holy_gb,evenings_gb,175,undirected
fables_holy_gb,fudges_england_gb,2,undirected
fables_holy_gb,fudges_paris_gb,39,undirected
fables_holy_gb,intercepted_gb,94,undirected
