Source,Target,Weight,Type
alciphron_gb,evenings_gb,1757,undirected
alciphron_gb,fables_holy_gb,758,undirected
alciphron_gb,lalla_gb,215,undirected
alciphron_gb,loves_angels_gb,2406,undirected
alciphron_gb,national_gb,6,undirected
alciphron_gb,sacred_gb,198,undirected
alciphron_gb,summerfete_gb,836,undirected
anacreon_gb,cash_corn_gb,8,undirected
anacreon_gb,corruption_gb,31,undirected
anacreon_gb,epistles_gb,999,undirected
anacreon_gb,intercepted_gb,118,undirected
anacreon_gb,lalla_gb,266,undirected
anacreon_gb,little_gb,37,undirected
anacreon_gb,sceptic_gb,116,undirected
anacreon_gb,tom_crib_gb,1198,undirected
cash_corn_gb,anacreon_gb,8,undirected
cash_corn_gb,fables_holy_gb,1,undirected
cash_corn_gb,fudges_england_gb,416,undirected
cash_corn_gb,fudges_paris_gb,1827,undirected
cash_corn_gb,intercepted_gb,2333,undirected
cash_corn_gb,tom_crib_gb,1261,undirected
corruption_gb,anacreon_gb,31,undirected
corruption_gb,epistles_gb,183,undirected
corruption_gb,fables_holy_gb,8,undirected
corruption_gb,intercepted_gb,327,undirected
corruption_gb,sceptic_gb,1831,undirected
corruption_gb,tom_crib_gb,1012,undirected
epistles_gb,anacreon_gb,999,undirected
epistles_gb,corruption_gb,183,undirected
epistles_gb,evenings_gb,2,undirected
epistles_gb,little_gb,2319,undirected
epistles_gb,loves_angels_gb,160,undirected
epistles_gb,melodies_gb,884,undirected
epistles_gb,sacred_gb,17,undirected
evenings_gb,alciphron_gb,1757,undirected
evenings_gb,epistles_gb,2,undirected
evenings_gb,lalla_gb,1030,undirected
evenings_gb,loves_angels_gb,980,undirected
evenings_gb,melodies_gb,24,undirected
evenings_gb,national_gb,121,undirected
evenings_gb,summerfete_gb,2124,undirected
fables_holy_gb,alciphron_gb,758,undirected
fables_holy_gb,cash_corn_gb,1,undirected
fables_holy_gb,corruption_gb,8,undirected
fables_holy_gb,fudges_england_gb,27,undirected
fables_holy_gb,fudges_paris_gb,295,undirected
fables_holy_gb,lalla_gb,1025,undirected
fables_holy_gb,loves_angels_gb,861,undirected
fudges_england_gb,cash_corn_gb,416,undirected
fudges_england_gb,fables_holy_gb,27,undirected
fudges_england_gb,fudges_paris_gb,2070,undirected
fudges_england_gb,intercepted_gb,1222,undirected
fudges_england_gb,little_gb,14,undirected
fudges_england_gb,sceptic_gb,33,undirected
fudges_england_gb,tom_crib_gb,41,undirected
fudges_paris_gb,cash_corn_gb,1827,undirected
fudges_paris_gb,fables_holy_gb,295,undirected
fudges_paris_gb,fudges_england_gb,2070,undirected
fudges_paris_gb,intercepted_gb,1325,undirected
fudges_paris_gb,little_gb,10,undirected
fudges_paris_gb,summerfete_gb,4,undirected
fudges_paris_gb,tom_crib_gb,21,undirected
intercepted_gb,anacreon_gb,118,undirected
intercepted_gb,cash_corn_gb,2333,undirected
intercepted_gb,corruption_gb,327,undirected
intercepted_gb,fudges_england_gb,1222,undirected
intercepted_gb,fudges_paris_gb,1325,undirected
intercepted_gb,sceptic_gb,287,undirected
intercepted_gb,tom_crib_gb,1175,undirected
lalla_gb,alciphron_gb,215,undirected
lalla_gb,anacreon_gb,266,undirected
lalla_gb,evenings_gb,1030,undirected
lalla_gb,fables_holy_gb,1025,undirected
lalla_gb,loves_angels_gb,1506,undirected
lalla_gb,melodies_gb,24,undirected
lalla_gb,sacred_gb,21,undirected
lalla_gb,sceptic_gb,175,undirected
little_gb,anacreon_gb,37,undirected
little_gb,epistles_gb,2319,undirected
little_gb,fudges_england_gb,14,undirected
little_gb,fudges_paris_gb,10,undirected
little_gb,melodies_gb,544,undirected
little_gb,national_gb,1618,undirected
little_gb,summerfete_gb,152,undirected
loves_angels_gb,alciphron_gb,2406,undirected
loves_angels_gb,epistles_gb,160,undirected
loves_angels_gb,evenings_gb,980,undirected
loves_angels_gb,fables_holy_gb,861,undirected
loves_angels_gb,lalla_gb,1506,undirected
loves_angels_gb,melodies_gb,82,undirected
loves_angels_gb,national_gb,27,undirected
loves_angels_gb,sacred_gb,286,undirected
loves_angels_gb,summerfete_gb,2,undirected
melodies_gb,epistles_gb,884,undirected
melodies_gb,evenings_gb,24,undirected
melodies_gb,lalla_gb,24,undirected
melodies_gb,little_gb,544,undirected
melodies_gb,loves_angels_gb,82,undirected
melodies_gb,national_gb,2298,undirected
melodies_gb,sacred_gb,2062,undirected
national_gb,alciphron_gb,6,undirected
national_gb,evenings_gb,121,undirected
national_gb,little_gb,1618,undirected
national_gb,loves_angels_gb,27,undirected
national_gb,melodies_gb,2298,undirected
national_gb,sacred_gb,948,undirected
national_gb,summerfete_gb,364,undirected
sacred_gb,alciphron_gb,198,undirected
sacred_gb,epistles_gb,17,undirected
sacred_gb,lalla_gb,21,undirected
sacred_gb,loves_angels_gb,286,undirected
sacred_gb,melodies_gb,2062,undirected
sacred_gb,national_gb,948,undirected
sceptic_gb,anacreon_gb,116,undirected
sceptic_gb,corruption_gb,1831,undirected
sceptic_gb,fudges_england_gb,33,undirected
sceptic_gb,intercepted_gb,287,undirected
sceptic_gb,lalla_gb,175,undirected
sceptic_gb,tom_crib_gb,1386,undirected
summerfete_gb,alciphron_gb,836,undirected
summerfete_gb,evenings_gb,2124,undirected
summerfete_gb,fudges_paris_gb,4,undirected
summerfete_gb,little_gb,152,undirected
summerfete_gb,loves_angels_gb,2,undirected
summerfete_gb,national_gb,364,undirected
tom_crib_gb,anacreon_gb,1198,undirected
tom_crib_gb,cash_corn_gb,1261,undirected
tom_crib_gb,corruption_gb,1012,undirected
tom_crib_gb,fudges_england_gb,41,undirected
tom_crib_gb,fudges_paris_gb,21,undirected
tom_crib_gb,intercepted_gb,1175,undirected
tom_crib_gb,sceptic_gb,1386,undirected
