Source,Target,Weight,Type
alciphron_gb,evenings_gb,1566,undirected
alciphron_gb,fables_holy_gb,552,undirected
alciphron_gb,lalla_gb,581,undirected
alciphron_gb,loves_angels_gb,2347,undirected
alciphron_gb,summerfete_gb,868,undirected
anacreon_gb,corruption_gb,5,undirected
anacreon_gb,epistles_gb,1795,undirected
anacreon_gb,lalla_gb,75,undirected
anacreon_gb,little_gb,1284,undirected
anacreon_gb,melodies_gb,16,undirected
anacreon_gb,sacred_gb,180,undirected
anacreon_gb,sceptic_gb,27,undirected
anacreon_gb,tom_crib_gb,513,undirected
cash_corn_gb,fudges_england_gb,1003,undirected
cash_corn_gb,fudges_paris_gb,2406,undirected
cash_corn_gb,intercepted_gb,1559,undirected
cash_corn_gb,summerfete_gb,2,undirected
cash_corn_gb,tom_crib_gb,1291,undirected
corruption_gb,anacreon_gb,5,undirected
corruption_gb,epistles_gb,329,undirected
corruption_gb,intercepted_gb,309,undirected
corruption_gb,loves_angels_gb,8,undirected
corruption_gb,sceptic_gb,1470,undirected
corruption_gb,summerfete_gb,1,undirected
corruption_gb,tom_crib_gb,1200,undirected
epistles_gb,anacreon_gb,1795,undirected
epistles_gb,corruption_gb,329,undirected
epistles_gb,intercepted_gb,1,undirected
epistles_gb,little_gb,2387,undirected
epistles_gb,loves_angels_gb,198,undirected
epistles_gb,melodies_gb,197,undirected
evenings_gb,alciphron_gb,1566,undirected
evenings_gb,fables_holy_gb,15,undirected
evenings_gb,lalla_gb,1330,undirected
evenings_gb,loves_angels_gb,349,undirected
evenings_gb,melodies_gb,21,undirected
evenings_gb,national_gb,211,undirected
evenings_gb,summerfete_gb,2321,undirected
fables_holy_gb,alciphron_gb,552,undirected
fables_holy_gb,evenings_gb,15,undirected
fables_holy_gb,fudges_paris_gb,624,undirected
fables_holy_gb,intercepted_gb,2,undirected
fables_holy_gb,lalla_gb,1069,undirected
fables_holy_gb,loves_angels_gb,460,undirected
fables_holy_gb,sceptic_gb,6,undirected
fables_holy_gb,summerfete_gb,7,undirected
fudges_england_gb,cash_corn_gb,1003,undirected
fudges_england_gb,fudges_paris_gb,1897,undirected
fudges_england_gb,intercepted_gb,861,undirected
fudges_england_gb,little_gb,26,undirected
fudges_england_gb,sceptic_gb,12,undirected
fudges_england_gb,tom_crib_gb,92,undirected
fudges_paris_gb,cash_corn_gb,2406,undirected
fudges_paris_gb,fables_holy_gb,624,undirected
fudges_paris_gb,fudges_england_gb,1897,undirected
fudges_paris_gb,intercepted_gb,1659,undirected
fudges_paris_gb,little_gb,7,undirected
fudges_paris_gb,tom_crib_gb,243,undirected
intercepted_gb,cash_corn_gb,1559,undirected
intercepted_gb,corruption_gb,309,undirected
intercepted_gb,epistles_gb,1,undirected
intercepted_gb,fables_holy_gb,2,undirected
intercepted_gb,fudges_england_gb,861,undirected
intercepted_gb,fudges_paris_gb,1659,undirected
intercepted_gb,sceptic_gb,565,undirected
intercepted_gb,tom_crib_gb,941,undirected
lalla_gb,alciphron_gb,581,undirected
lalla_gb,anacreon_gb,75,undirected
lalla_gb,evenings_gb,1330,undirected
lalla_gb,fables_holy_gb,1069,undirected
lalla_gb,loves_angels_gb,1938,undirected
lalla_gb,melodies_gb,5,undirected
lalla_gb,sacred_gb,262,undirected
lalla_gb,sceptic_gb,18,undirected
little_gb,anacreon_gb,1284,undirected
little_gb,epistles_gb,2387,undirected
little_gb,fudges_england_gb,26,undirected
little_gb,fudges_paris_gb,7,undirected
little_gb,melodies_gb,622,undirected
little_gb,national_gb,1056,undirected
loves_angels_gb,alciphron_gb,2347,undirected
loves_angels_gb,corruption_gb,8,undirected
loves_angels_gb,epistles_gb,198,undirected
loves_angels_gb,evenings_gb,349,undirected
loves_angels_gb,fables_holy_gb,460,undirected
loves_angels_gb,lalla_gb,1938,undirected
loves_angels_gb,summerfete_gb,329,undirected
melodies_gb,anacreon_gb,16,undirected
melodies_gb,epistles_gb,197,undirected
melodies_gb,evenings_gb,21,undirected
melodies_gb,lalla_gb,5,undirected
melodies_gb,little_gb,622,undirected
melodies_gb,national_gb,2406,undirected
melodies_gb,sacred_gb,1973,undirected
national_gb,evenings_gb,211,undirected
national_gb,little_gb,1056,undirected
national_gb,melodies_gb,2406,undirected
national_gb,sacred_gb,1096,undirected
national_gb,summerfete_gb,76,undirected
sacred_gb,anacreon_gb,180,undirected
sacred_gb,lalla_gb,262,undirected
sacred_gb,melodies_gb,1973,undirected
sacred_gb,national_gb,1096,undirected
sacred_gb,sceptic_gb,2,undirected
sceptic_gb,anacreon_gb,27,undirected
sceptic_gb,corruption_gb,1470,undirected
sceptic_gb,fables_holy_gb,6,undirected
sceptic_gb,fudges_england_gb,12,undirected
sceptic_gb,intercepted_gb,565,undirected
sceptic_gb,lalla_gb,18,undirected
sceptic_gb,sacred_gb,2,undirected
sceptic_gb,tom_crib_gb,1043,undirected
summerfete_gb,alciphron_gb,868,undirected
summerfete_gb,cash_corn_gb,2,undirected
summerfete_gb,corruption_gb,1,undirected
summerfete_gb,evenings_gb,2321,undirected
summerfete_gb,fables_holy_gb,7,undirected
summerfete_gb,loves_angels_gb,329,undirected
summerfete_gb,national_gb,76,undirected
tom_crib_gb,anacreon_gb,513,undirected
tom_crib_gb,cash_corn_gb,1291,undirected
tom_crib_gb,corruption_gb,1200,undirected
tom_crib_gb,fudges_england_gb,92,undirected
tom_crib_gb,fudges_paris_gb,243,undirected
tom_crib_gb,intercepted_gb,941,undirected
tom_crib_gb,sceptic_gb,1043,undirected
