"alciphron_gb" "anacreon_gb" "cash_corn_gb" "corruption_gb" "epistles_gb" "evenings_gb" "fables_holy_gb" "fudges_england_gb" "fudges_paris_gb" "intercepted_gb" "lalla_gb" "little_gb" "loves_angels_gb" "melodies_gb" "national_gb" "sacred_gb" "sceptic_gb" "summerfete_gb" "tom_crib_gb"
"the" 5.27738598965679 6.73096378228907 4.93003336487227 6.5358112340781 5.97278624545119 6.23453264801066 5.14775547033612 4.75623312688582 4.66839347027287 4.97337033980947 6.88928280553826 4.58322165639239 5.40213523131673 6.13558796152653 3.85866517106001 5.87449933244326 6.50311526479751 4.757233938205 6.14263752422966
"of" 2.80912082745651 3.34524853308154 2.97295951396843 4.19711839632491 3.08264332049997 2.80791928421854 2.9957139634559 2.63617595680483 2.71068007951328 2.82049358637762 3.94768361040579 2.08389171803806 3.12455516014235 3.02901023890785 1.69377453729669 2.95393858477971 4.16666666666667 2.84453163315351 3.30191832096785
"and" 2.96191819464034 2.65731435893977 3.03769732583039 3.52892044268114 3.04308844470228 2.55092328193413 3.02278366794496 2.92202636175957 3.16848382627553 2.96301852824244 2.94479311391111 3.08228357008845 2.84697508896797 2.70710518150791 2.37801458216489 3.42122830440587 3.15420560747664 2.81183586725519 2.77387875142036
"to" 1.95110484250118 2.18520267080326 2.37039988048404 2.56838588431823 2.4708612414957 2.15115172282505 2.24227385517708 2.73145942512307 2.40346967050178 2.70047258270197 1.86844248550759 2.4859287054409 2.2491103202847 2.09044368600683 2.19854178351094 1.88584779706275 2.53115264797508 2.66470492071277 2.33941581445091
"in" 1.44569816643159 1.75355769879274 1.45909068273492 1.48256420964711 1.51627023891145 1.47534742052161 1.84073990525603 1.81038589804669 1.60231311366785 1.62778486235091 1.74707357191907 1.49423746984723 1.70818505338078 1.59789016444307 1.22265844083006 1.60213618157543 2.29750778816199 1.50400523132254 1.75790388343025
"a" 1.50446638457922 1.42307951709719 2.13136795976296 1.19022760492796 1.68767470070144 1.48486579097658 1.68283329573652 1.81038589804669 2.03602192638998 2.10786887705348 1.48038135390217 1.46073438756366 1.16014234875445 1.28762022959975 0.919798093101514 0.751001335113485 1.36292834890966 1.65113617786497 1.95174119377047
"that" 2.40949694405266 1.004923450462 1.14038145510682 1.56608895385258 1.43716048731607 1.62764134780126 1.70990300022558 1.18310306495156 1.27100777061623 1.07268772035106 1.66403168367428 1.3401232913428 2.17081850533808 1.55522804840211 1.54795288839035 1.58544726301736 1.32398753894081 1.50400523132254 1.05607913909498
"as" 1.21062529384109 0.640723005328118 0.995966336337832 0.689079139695135 0.838563366911028 1.20883304778222 0.992555831265509 0.992536128315071 1.08427203180531 0.825144400270047 0.911863811303279 0.603055481104262 1.23131672597865 0.752404591995036 0.650588895120583 0.433911882510013 0.817757009345794 1.19339545528854 1.12291959093643
"i" 1.17536436295252 1.42307951709719 0.776853742343509 0.396742534975987 1.19192025737039 0.190367409099562 0.464696593728852 1.39749086866762 1.22281790253599 1.08769034581052 0.297034446414028 1.86947199142321 1.06049822064057 0.504188644120385 0.830061693774537 0.400534045393858 0.116822429906542 0.261566127186529 0.628300247309672
"with" 0.77574047954866 1.06562352465097 0.88641003934067 0.835247442054709 0.730446706397342 0.818579859128117 0.794044665012407 0.619342544068604 0.765014155773749 0.705123396594404 0.862358070234274 0.804073974805682 0.633451957295374 0.624418243872169 0.504767246214246 0.433911882510013 0.661993769470405 1.0135687428478 0.708508789519417
