Source,Target,Weight,Type
1_number,2_number,13,undirected
1_number,3_number,25,undirected
1_number,4_number,22,undirected
1_number,5_number,20,undirected
1_number,6_number,1,undirected
1_number,7_number,10,undirected
1_number,8_number,2,undirected
1_number,supplement,1,undirected
10_number,3_number,5,undirected
10_number,4_number,21,undirected
10_number,7_number,6,undirected
10_number,8_number,30,undirected
10_number,9_number,33,undirected
10_number,supplement,13,undirected
2_number,1_number,13,undirected
2_number,3_number,1,undirected
2_number,4_number,5,undirected
2_number,5_number,20,undirected
2_number,8_number,14,undirected
2_number,9_number,5,undirected
2_number,supplement,5,undirected
3_number,1_number,25,undirected
3_number,10_number,5,undirected
3_number,2_number,1,undirected
3_number,4_number,13,undirected
3_number,5_number,29,undirected
3_number,8_number,29,undirected
3_number,9_number,1,undirected
4_number,1_number,22,undirected
4_number,10_number,21,undirected
4_number,2_number,5,undirected
4_number,3_number,13,undirected
4_number,5_number,42,undirected
4_number,8_number,2,undirected
4_number,9_number,13,undirected
5_number,1_number,20,undirected
5_number,2_number,20,undirected
5_number,3_number,29,undirected
5_number,4_number,42,undirected
5_number,6_number,17,undirected
5_number,7_number,7,undirected
5_number,8_number,30,undirected
5_number,9_number,2,undirected
5_number,supplement,2,undirected
6_number,1_number,1,undirected
6_number,5_number,17,undirected
6_number,8_number,26,undirected
6_number,9_number,11,undirected
6_number,supplement,20,undirected
7_number,1_number,10,undirected
7_number,10_number,6,undirected
7_number,5_number,7,undirected
7_number,8_number,24,undirected
7_number,9_number,19,undirected
8_number,1_number,2,undirected
8_number,10_number,30,undirected
8_number,2_number,14,undirected
8_number,3_number,29,undirected
8_number,4_number,2,undirected
8_number,5_number,30,undirected
8_number,6_number,26,undirected
8_number,7_number,24,undirected
8_number,9_number,42,undirected
8_number,supplement,1,undirected
9_number,10_number,33,undirected
9_number,2_number,5,undirected
9_number,3_number,1,undirected
9_number,4_number,13,undirected
9_number,5_number,2,undirected
9_number,6_number,11,undirected
9_number,7_number,19,undirected
9_number,8_number,42,undirected
9_number,supplement,12,undirected
supplement,1_number,1,undirected
supplement,10_number,13,undirected
supplement,2_number,5,undirected
supplement,5_number,2,undirected
supplement,6_number,20,undirected
supplement,8_number,1,undirected
supplement,9_number,12,undirected
