Source,Target,Weight,Type
alciphron,lalla,1,undirected
alciphron,loves_angels,5,undirected
alciphron,summerfete,2,undirected
anacreon,epistles,3,undirected
anacreon,intercepted,1,undirected
anacreon,tom_crib,2,undirected
cash_corn,fudges_england,3,undirected
cash_corn,fudges_paris,5,undirected
cash_corn,intercepted,1,undirected
cash_corn,national,1,undirected
cash_corn,summerfete,2,undirected
corruption,epistles,3,undirected
corruption,fables_holy,1,undirected
corruption,melodies,2,undirected
epistles,anacreon,3,undirected
epistles,corruption,3,undirected
epistles,fables_holy,2,undirected
epistles,intercepted,3,undirected
epistles,lalla,2,undirected
epistles,little,3,undirected
epistles,loves_angels,3,undirected
epistles,melodies,6,undirected
epistles,sacred,2,undirected
epistles,sceptic,2,undirected
epistles,tom_crib,4,undirected
evenings,fables_holy,1,undirected
evenings,lalla,4,undirected
evenings,summerfete,2,undirected
fables_holy,corruption,1,undirected
fables_holy,epistles,2,undirected
fables_holy,evenings,1,undirected
fables_holy,fudges_paris,1,undirected
fables_holy,lalla,6,undirected
fables_holy,summerfete,3,undirected
fudges_england,cash_corn,3,undirected
fudges_england,fudges_paris,6,undirected
fudges_england,intercepted,5,undirected
fudges_paris,cash_corn,5,undirected
fudges_paris,fables_holy,1,undirected
fudges_paris,fudges_england,6,undirected
fudges_paris,intercepted,3,undirected
fudges_paris,little,2,undirected
fudges_paris,national,2,undirected
fudges_paris,summerfete,1,undirected
fudges_paris,tom_crib,1,undirected
intercepted,anacreon,1,undirected
intercepted,cash_corn,1,undirected
intercepted,epistles,3,undirected
intercepted,fudges_england,5,undirected
intercepted,fudges_paris,3,undirected
intercepted,melodies,2,undirected
intercepted,tom_crib,2,undirected
lalla,alciphron,1,undirected
lalla,epistles,2,undirected
lalla,evenings,4,undirected
lalla,fables_holy,6,undirected
lalla,melodies,1,undirected
little,epistles,3,undirected
little,fudges_paris,2,undirected
little,melodies,1,undirected
loves_angels,alciphron,5,undirected
loves_angels,epistles,3,undirected
loves_angels,melodies,1,undirected
melodies,corruption,2,undirected
melodies,epistles,6,undirected
melodies,intercepted,2,undirected
melodies,lalla,1,undirected
melodies,little,1,undirected
melodies,loves_angels,1,undirected
melodies,national,3,undirected
melodies,sacred,3,undirected
melodies,sceptic,1,undirected
national,cash_corn,1,undirected
national,fudges_paris,2,undirected
national,melodies,3,undirected
sacred,epistles,2,undirected
sacred,melodies,3,undirected
sacred,summerfete,1,undirected
sceptic,epistles,2,undirected
sceptic,melodies,1,undirected
sceptic,tom_crib,3,undirected
summerfete,alciphron,2,undirected
summerfete,cash_corn,2,undirected
summerfete,evenings,2,undirected
summerfete,fables_holy,3,undirected
summerfete,fudges_paris,1,undirected
summerfete,sacred,1,undirected
tom_crib,anacreon,2,undirected
tom_crib,epistles,4,undirected
tom_crib,fudges_paris,1,undirected
tom_crib,intercepted,2,undirected
tom_crib,sceptic,3,undirected
