Source,Target,Weight,Type
alciphron,evenings,185,undirected
alciphron,fables_holy,413,undirected
alciphron,lalla,543,undirected
alciphron,little,3,undirected
alciphron,loves_angels,1404,undirected
alciphron,summerfete,524,undirected
anacreon,epistles,1043,undirected
anacreon,fudges_paris,68,undirected
anacreon,lalla,177,undirected
anacreon,sceptic,752,undirected
anacreon,tom_crib,941,undirected
cash_corn,fudges_england,1474,undirected
cash_corn,fudges_paris,1619,undirected
cash_corn,intercepted,853,undirected
cash_corn,little,10,undirected
cash_corn,summerfete,25,undirected
cash_corn,tom_crib,208,undirected
corruption,epistles,997,undirected
corruption,fables_holy,11,undirected
corruption,fudges_england,4,undirected
corruption,intercepted,131,undirected
corruption,melodies,2,undirected
corruption,sceptic,522,undirected
corruption,tom_crib,858,undirected
epistles,anacreon,1043,undirected
epistles,corruption,997,undirected
epistles,evenings,9,undirected
epistles,fables_holy,1103,undirected
epistles,fudges_paris,10,undirected
epistles,lalla,1544,undirected
epistles,little,1155,undirected
epistles,loves_angels,1225,undirected
epistles,melodies,2406,undirected
epistles,sacred,709,undirected
epistles,sceptic,31,undirected
epistles,summerfete,102,undirected
epistles,tom_crib,64,undirected
evenings,alciphron,185,undirected
evenings,epistles,9,undirected
evenings,lalla,1219,undirected
evenings,loves_angels,188,undirected
evenings,melodies,131,undirected
evenings,sacred,54,undirected
evenings,summerfete,831,undirected
fables_holy,alciphron,413,undirected
fables_holy,corruption,11,undirected
fables_holy,epistles,1103,undirected
fables_holy,fudges_england,767,undirected
fables_holy,fudges_paris,1345,undirected
fables_holy,lalla,373,undirected
fables_holy,little,215,undirected
fables_holy,loves_angels,357,undirected
fables_holy,melodies,202,undirected
fables_holy,national,73,undirected
fables_holy,summerfete,1195,undirected
fudges_england,cash_corn,1474,undirected
fudges_england,corruption,4,undirected
fudges_england,fables_holy,767,undirected
fudges_england,fudges_paris,2380,undirected
fudges_england,intercepted,1846,undirected
fudges_england,little,61,undirected
fudges_england,sceptic,522,undirected
fudges_england,summerfete,3,undirected
fudges_england,tom_crib,1138,undirected
fudges_paris,anacreon,68,undirected
fudges_paris,cash_corn,1619,undirected
fudges_paris,epistles,10,undirected
fudges_paris,fables_holy,1345,undirected
fudges_paris,fudges_england,2380,undirected
fudges_paris,intercepted,1252,undirected
fudges_paris,little,289,undirected
fudges_paris,tom_crib,694,undirected
intercepted,cash_corn,853,undirected
intercepted,corruption,131,undirected
intercepted,fudges_england,1846,undirected
intercepted,fudges_paris,1252,undirected
intercepted,tom_crib,240,undirected
lalla,alciphron,543,undirected
lalla,anacreon,177,undirected
lalla,epistles,1544,undirected
lalla,evenings,1219,undirected
lalla,fables_holy,373,undirected
lalla,loves_angels,391,undirected
lalla,melodies,1792,undirected
lalla,sacred,322,undirected
lalla,summerfete,608,undirected
little,alciphron,3,undirected
little,cash_corn,10,undirected
little,epistles,1155,undirected
little,fables_holy,215,undirected
little,fudges_england,61,undirected
little,fudges_paris,289,undirected
little,melodies,747,undirected
little,national,387,undirected
little,sacred,4,undirected
little,summerfete,57,undirected
loves_angels,alciphron,1404,undirected
loves_angels,epistles,1225,undirected
loves_angels,evenings,188,undirected
loves_angels,fables_holy,357,undirected
loves_angels,lalla,391,undirected
loves_angels,melodies,399,undirected
loves_angels,national,74,undirected
loves_angels,sacred,114,undirected
loves_angels,summerfete,8,undirected
melodies,corruption,2,undirected
melodies,epistles,2406,undirected
melodies,evenings,131,undirected
melodies,fables_holy,202,undirected
melodies,lalla,1792,undirected
melodies,little,747,undirected
melodies,loves_angels,399,undirected
melodies,national,1042,undirected
melodies,sacred,1203,undirected
melodies,summerfete,15,undirected
national,fables_holy,73,undirected
national,little,387,undirected
national,loves_angels,74,undirected
national,melodies,1042,undirected
national,summerfete,830,undirected
sacred,epistles,709,undirected
sacred,evenings,54,undirected
sacred,lalla,322,undirected
sacred,little,4,undirected
sacred,loves_angels,114,undirected
sacred,melodies,1203,undirected
sceptic,anacreon,752,undirected
sceptic,corruption,522,undirected
sceptic,epistles,31,undirected
sceptic,fudges_england,522,undirected
sceptic,tom_crib,1221,undirected
summerfete,alciphron,524,undirected
summerfete,cash_corn,25,undirected
summerfete,epistles,102,undirected
summerfete,evenings,831,undirected
summerfete,fables_holy,1195,undirected
summerfete,fudges_england,3,undirected
summerfete,lalla,608,undirected
summerfete,little,57,undirected
summerfete,loves_angels,8,undirected
summerfete,melodies,15,undirected
summerfete,national,830,undirected
tom_crib,anacreon,941,undirected
tom_crib,cash_corn,208,undirected
tom_crib,corruption,858,undirected
tom_crib,epistles,64,undirected
tom_crib,fudges_england,1138,undirected
tom_crib,fudges_paris,694,undirected
tom_crib,intercepted,240,undirected
tom_crib,sceptic,1221,undirected
