Source,Target,Weight,Type
alciphron,epistles,147,undirected
alciphron,evenings,678,undirected
alciphron,fables_holy,40,undirected
alciphron,lalla,1050,undirected
alciphron,loves_angels,1396,undirected
alciphron,summerfete,240,undirected
anacreon,corruption,10,undirected
anacreon,epistles,1312,undirected
anacreon,intercepted,19,undirected
anacreon,lalla,456,undirected
anacreon,little,189,undirected
anacreon,melodies,182,undirected
anacreon,sceptic,562,undirected
anacreon,tom_crib,487,undirected
cash_corn,fudges_england,1885,undirected
cash_corn,fudges_paris,1690,undirected
cash_corn,intercepted,793,undirected
cash_corn,little,27,undirected
cash_corn,national,23,undirected
cash_corn,summerfete,41,undirected
cash_corn,tom_crib,770,undirected
corruption,anacreon,10,undirected
corruption,epistles,176,undirected
corruption,fables_holy,490,undirected
corruption,fudges_england,2,undirected
corruption,intercepted,729,undirected
corruption,melodies,6,undirected
corruption,sceptic,1047,undirected
corruption,tom_crib,1003,undirected
epistles,alciphron,147,undirected
epistles,anacreon,1312,undirected
epistles,corruption,176,undirected
epistles,fables_holy,338,undirected
epistles,fudges_paris,24,undirected
epistles,intercepted,49,undirected
epistles,lalla,1581,undirected
epistles,little,1223,undirected
epistles,loves_angels,532,undirected
epistles,melodies,2397,undirected
epistles,national,466,undirected
epistles,sacred,529,undirected
epistles,sceptic,64,undirected
epistles,summerfete,16,undirected
epistles,tom_crib,49,undirected
evenings,alciphron,678,undirected
evenings,fables_holy,11,undirected
evenings,lalla,1172,undirected
evenings,melodies,20,undirected
evenings,summerfete,1129,undirected
fables_holy,alciphron,40,undirected
fables_holy,corruption,490,undirected
fables_holy,epistles,338,undirected
fables_holy,evenings,11,undirected
fables_holy,fudges_england,343,undirected
fables_holy,fudges_paris,944,undirected
fables_holy,lalla,2159,undirected
fables_holy,loves_angels,123,undirected
fables_holy,melodies,431,undirected
fables_holy,summerfete,541,undirected
fables_holy,tom_crib,8,undirected
fudges_england,cash_corn,1885,undirected
fudges_england,corruption,2,undirected
fudges_england,fables_holy,343,undirected
fudges_england,fudges_paris,2280,undirected
fudges_england,intercepted,1742,undirected
fudges_england,melodies,6,undirected
fudges_england,national,4,undirected
fudges_england,sceptic,16,undirected
fudges_england,tom_crib,329,undirected
fudges_paris,cash_corn,1690,undirected
fudges_paris,epistles,24,undirected
fudges_paris,fables_holy,944,undirected
fudges_paris,fudges_england,2280,undirected
fudges_paris,intercepted,1225,undirected
fudges_paris,little,53,undirected
fudges_paris,national,32,undirected
fudges_paris,summerfete,14,undirected
fudges_paris,tom_crib,982,undirected
intercepted,anacreon,19,undirected
intercepted,cash_corn,793,undirected
intercepted,corruption,729,undirected
intercepted,epistles,49,undirected
intercepted,fudges_england,1742,undirected
intercepted,fudges_paris,1225,undirected
intercepted,little,150,undirected
intercepted,melodies,29,undirected
intercepted,sceptic,3,undirected
intercepted,tom_crib,272,undirected
lalla,alciphron,1050,undirected
lalla,anacreon,456,undirected
lalla,epistles,1581,undirected
lalla,evenings,1172,undirected
lalla,fables_holy,2159,undirected
lalla,loves_angels,1334,undirected
lalla,melodies,1031,undirected
lalla,national,231,undirected
lalla,sacred,691,undirected
lalla,summerfete,903,undirected
little,anacreon,189,undirected
little,cash_corn,27,undirected
little,epistles,1223,undirected
little,fudges_paris,53,undirected
little,intercepted,150,undirected
little,melodies,794,undirected
little,national,239,undirected
loves_angels,alciphron,1396,undirected
loves_angels,epistles,532,undirected
loves_angels,fables_holy,123,undirected
loves_angels,lalla,1334,undirected
loves_angels,melodies,1,undirected
loves_angels,summerfete,2,undirected
melodies,anacreon,182,undirected
melodies,corruption,6,undirected
melodies,epistles,2397,undirected
melodies,evenings,20,undirected
melodies,fables_holy,431,undirected
melodies,fudges_england,6,undirected
melodies,intercepted,29,undirected
melodies,lalla,1031,undirected
melodies,little,794,undirected
melodies,loves_angels,1,undirected
melodies,national,1203,undirected
melodies,sacred,1166,undirected
melodies,sceptic,6,undirected
melodies,summerfete,388,undirected
national,cash_corn,23,undirected
national,epistles,466,undirected
national,fudges_england,4,undirected
national,fudges_paris,32,undirected
national,lalla,231,undirected
national,little,239,undirected
national,melodies,1203,undirected
national,sacred,129,undirected
national,summerfete,86,undirected
sacred,epistles,529,undirected
sacred,lalla,691,undirected
sacred,melodies,1166,undirected
sacred,national,129,undirected
sacred,summerfete,13,undirected
sceptic,anacreon,562,undirected
sceptic,corruption,1047,undirected
sceptic,epistles,64,undirected
sceptic,fudges_england,16,undirected
sceptic,intercepted,3,undirected
sceptic,melodies,6,undirected
sceptic,tom_crib,761,undirected
summerfete,alciphron,240,undirected
summerfete,cash_corn,41,undirected
summerfete,epistles,16,undirected
summerfete,evenings,1129,undirected
summerfete,fables_holy,541,undirected
summerfete,fudges_paris,14,undirected
summerfete,lalla,903,undirected
summerfete,loves_angels,2,undirected
summerfete,melodies,388,undirected
summerfete,national,86,undirected
summerfete,sacred,13,undirected
tom_crib,anacreon,487,undirected
tom_crib,cash_corn,770,undirected
tom_crib,corruption,1003,undirected
tom_crib,epistles,49,undirected
tom_crib,fables_holy,8,undirected
tom_crib,fudges_england,329,undirected
tom_crib,fudges_paris,982,undirected
tom_crib,intercepted,272,undirected
tom_crib,sceptic,761,undirected
