Source,Target,Weight,Type
1_number,2_number,47,undirected
1_number,3_number,20,undirected
1_number,4_number,19,undirected
1_number,5_number,29,undirected
1_number,7_number,16,undirected
1_number,supplement,2,undirected
10_number,3_number,8,undirected
10_number,4_number,8,undirected
10_number,7_number,31,undirected
10_number,8_number,27,undirected
10_number,9_number,50,undirected
10_number,supplement,20,undirected
2_number,1_number,47,undirected
2_number,3_number,7,undirected
2_number,4_number,5,undirected
2_number,5_number,18,undirected
2_number,8_number,3,undirected
2_number,9_number,4,undirected
2_number,supplement,3,undirected
3_number,1_number,20,undirected
3_number,10_number,8,undirected
3_number,2_number,7,undirected
3_number,4_number,27,undirected
3_number,5_number,24,undirected
3_number,8_number,7,undirected
3_number,9_number,2,undirected
4_number,1_number,19,undirected
4_number,10_number,8,undirected
4_number,2_number,5,undirected
4_number,3_number,27,undirected
4_number,5_number,37,undirected
4_number,9_number,7,undirected
5_number,1_number,29,undirected
5_number,2_number,18,undirected
5_number,3_number,24,undirected
5_number,4_number,37,undirected
5_number,6_number,12,undirected
5_number,7_number,5,undirected
5_number,supplement,1,undirected
6_number,5_number,12,undirected
6_number,7_number,2,undirected
6_number,8_number,35,undirected
6_number,9_number,2,undirected
6_number,supplement,45,undirected
7_number,1_number,16,undirected
7_number,10_number,31,undirected
7_number,5_number,5,undirected
7_number,6_number,2,undirected
7_number,8_number,27,undirected
7_number,9_number,28,undirected
8_number,10_number,27,undirected
8_number,2_number,3,undirected
8_number,3_number,7,undirected
8_number,6_number,35,undirected
8_number,7_number,27,undirected
8_number,9_number,9,undirected
9_number,10_number,50,undirected
9_number,2_number,4,undirected
9_number,3_number,2,undirected
9_number,4_number,7,undirected
9_number,6_number,2,undirected
9_number,7_number,28,undirected
9_number,8_number,9,undirected
9_number,supplement,7,undirected
supplement,1_number,2,undirected
supplement,10_number,20,undirected
supplement,2_number,3,undirected
supplement,5_number,1,undirected
supplement,6_number,45,undirected
supplement,9_number,7,undirected
