Source,Target,Weight,Type
alciphron,evenings,1753,undirected
alciphron,fables_holy,8,undirected
alciphron,lalla,434,undirected
alciphron,loves_angels,2406,undirected
alciphron,national,110,undirected
alciphron,sacred,57,undirected
alciphron,summerfete,1268,undirected
anacreon,corruption,824,undirected
anacreon,epistles,812,undirected
anacreon,lalla,10,undirected
anacreon,sceptic,1344,undirected
anacreon,tom_crib,2062,undirected
cash_corn,fables_holy,248,undirected
cash_corn,fudges_england,1229,undirected
cash_corn,fudges_paris,1862,undirected
cash_corn,intercepted,1065,undirected
cash_corn,little,28,undirected
cash_corn,tom_crib,26,undirected
corruption,anacreon,824,undirected
corruption,epistles,486,undirected
corruption,lalla,12,undirected
corruption,melodies,2,undirected
corruption,sceptic,2187,undirected
corruption,tom_crib,1302,undirected
epistles,anacreon,812,undirected
epistles,corruption,486,undirected
epistles,lalla,172,undirected
epistles,little,2006,undirected
epistles,melodies,235,undirected
epistles,sceptic,8,undirected
epistles,tom_crib,11,undirected
evenings,alciphron,1753,undirected
evenings,lalla,1965,undirected
evenings,loves_angels,671,undirected
evenings,melodies,34,undirected
evenings,sacred,124,undirected
evenings,summerfete,1656,undirected
fables_holy,alciphron,8,undirected
fables_holy,cash_corn,248,undirected
fables_holy,fudges_england,721,undirected
fables_holy,fudges_paris,1203,undirected
fables_holy,intercepted,223,undirected
fables_holy,little,16,undirected
fables_holy,loves_angels,73,undirected
fables_holy,summerfete,4,undirected
fudges_england,cash_corn,1229,undirected
fudges_england,fables_holy,721,undirected
fudges_england,fudges_paris,2305,undirected
fudges_england,intercepted,1918,undirected
fudges_england,tom_crib,135,undirected
fudges_paris,cash_corn,1862,undirected
fudges_paris,fables_holy,1203,undirected
fudges_paris,fudges_england,2305,undirected
fudges_paris,intercepted,1245,undirected
fudges_paris,little,39,undirected
fudges_paris,tom_crib,10,undirected
intercepted,cash_corn,1065,undirected
intercepted,fables_holy,223,undirected
intercepted,fudges_england,1918,undirected
intercepted,fudges_paris,1245,undirected
intercepted,little,26,undirected
intercepted,tom_crib,64,undirected
lalla,alciphron,434,undirected
lalla,anacreon,10,undirected
lalla,corruption,12,undirected
lalla,epistles,172,undirected
lalla,evenings,1965,undirected
lalla,loves_angels,1084,undirected
lalla,melodies,398,undirected
lalla,sacred,63,undirected
little,cash_corn,28,undirected
little,epistles,2006,undirected
little,fables_holy,16,undirected
little,fudges_paris,39,undirected
little,intercepted,26,undirected
little,melodies,780,undirected
little,national,1688,undirected
little,sacred,28,undirected
little,summerfete,168,undirected
loves_angels,alciphron,2406,undirected
loves_angels,evenings,671,undirected
loves_angels,fables_holy,73,undirected
loves_angels,lalla,1084,undirected
loves_angels,melodies,1,undirected
loves_angels,national,77,undirected
loves_angels,sacred,179,undirected
melodies,corruption,2,undirected
melodies,epistles,235,undirected
melodies,evenings,34,undirected
melodies,lalla,398,undirected
melodies,little,780,undirected
melodies,loves_angels,1,undirected
melodies,national,1315,undirected
melodies,sacred,1683,undirected
national,alciphron,110,undirected
national,little,1688,undirected
national,loves_angels,77,undirected
national,melodies,1315,undirected
national,sacred,1702,undirected
national,summerfete,679,undirected
sacred,alciphron,57,undirected
sacred,evenings,124,undirected
sacred,lalla,63,undirected
sacred,little,28,undirected
sacred,loves_angels,179,undirected
sacred,melodies,1683,undirected
sacred,national,1702,undirected
sceptic,anacreon,1344,undirected
sceptic,corruption,2187,undirected
sceptic,epistles,8,undirected
sceptic,tom_crib,1470,undirected
summerfete,alciphron,1268,undirected
summerfete,evenings,1656,undirected
summerfete,fables_holy,4,undirected
summerfete,little,168,undirected
summerfete,national,679,undirected
tom_crib,anacreon,2062,undirected
tom_crib,cash_corn,26,undirected
tom_crib,corruption,1302,undirected
tom_crib,epistles,11,undirected
tom_crib,fudges_england,135,undirected
tom_crib,fudges_paris,10,undirected
tom_crib,intercepted,64,undirected
tom_crib,sceptic,1470,undirected
