Source,Target,Weight,Type
alciphron,evenings,1757,undirected
alciphron,fables_holy,103,undirected
alciphron,lalla,1136,undirected
alciphron,loves_angels,2329,undirected
alciphron,summerfete,973,undirected
anacreon,corruption,167,undirected
anacreon,epistles,1713,undirected
anacreon,little,258,undirected
anacreon,melodies,8,undirected
anacreon,sceptic,1589,undirected
anacreon,tom_crib,348,undirected
cash_corn,fables_holy,94,undirected
cash_corn,fudges_england,1879,undirected
cash_corn,fudges_paris,1692,undirected
cash_corn,intercepted,811,undirected
cash_corn,summerfete,16,undirected
cash_corn,tom_crib,1155,undirected
corruption,anacreon,167,undirected
corruption,epistles,256,undirected
corruption,intercepted,326,undirected
corruption,melodies,15,undirected
corruption,sceptic,2323,undirected
corruption,tom_crib,869,undirected
epistles,anacreon,1713,undirected
epistles,corruption,256,undirected
epistles,lalla,14,undirected
epistles,little,2360,undirected
epistles,loves_angels,293,undirected
epistles,melodies,185,undirected
epistles,sacred,1,undirected
evenings,alciphron,1757,undirected
evenings,fables_holy,41,undirected
evenings,lalla,1037,undirected
evenings,loves_angels,217,undirected
evenings,national,92,undirected
evenings,summerfete,2127,undirected
fables_holy,alciphron,103,undirected
fables_holy,cash_corn,94,undirected
fables_holy,evenings,41,undirected
fables_holy,fudges_england,713,undirected
fables_holy,fudges_paris,1088,undirected
fables_holy,intercepted,172,undirected
fables_holy,lalla,195,undirected
fables_holy,loves_angels,11,undirected
fables_holy,summerfete,12,undirected
fables_holy,tom_crib,47,undirected
fudges_england,cash_corn,1879,undirected
fudges_england,fables_holy,713,undirected
fudges_england,fudges_paris,1986,undirected
fudges_england,intercepted,1929,undirected
fudges_england,tom_crib,403,undirected
fudges_paris,cash_corn,1692,undirected
fudges_paris,fables_holy,1088,undirected
fudges_paris,fudges_england,1986,undirected
fudges_paris,intercepted,1327,undirected
fudges_paris,little,19,undirected
fudges_paris,national,1,undirected
fudges_paris,tom_crib,311,undirected
intercepted,cash_corn,811,undirected
intercepted,corruption,326,undirected
intercepted,fables_holy,172,undirected
intercepted,fudges_england,1929,undirected
intercepted,fudges_paris,1327,undirected
intercepted,tom_crib,387,undirected
lalla,alciphron,1136,undirected
lalla,epistles,14,undirected
lalla,evenings,1037,undirected
lalla,fables_holy,195,undirected
lalla,loves_angels,1807,undirected
lalla,sacred,285,undirected
little,anacreon,258,undirected
little,epistles,2360,undirected
little,fudges_paris,19,undirected
little,melodies,1034,undirected
little,national,1032,undirected
little,sacred,22,undirected
loves_angels,alciphron,2329,undirected
loves_angels,epistles,293,undirected
loves_angels,evenings,217,undirected
loves_angels,fables_holy,11,undirected
loves_angels,lalla,1807,undirected
loves_angels,summerfete,151,undirected
melodies,anacreon,8,undirected
melodies,corruption,15,undirected
melodies,epistles,185,undirected
melodies,little,1034,undirected
melodies,national,2402,undirected
melodies,sacred,1362,undirected
melodies,sceptic,1,undirected
national,evenings,92,undirected
national,fudges_paris,1,undirected
national,little,1032,undirected
national,melodies,2402,undirected
national,sacred,1923,undirected
national,summerfete,245,undirected
sacred,epistles,1,undirected
sacred,lalla,285,undirected
sacred,little,22,undirected
sacred,melodies,1362,undirected
sacred,national,1923,undirected
sacred,sceptic,76,undirected
sacred,summerfete,21,undirected
sceptic,anacreon,1589,undirected
sceptic,corruption,2323,undirected
sceptic,melodies,1,undirected
sceptic,sacred,76,undirected
sceptic,tom_crib,568,undirected
summerfete,alciphron,973,undirected
summerfete,cash_corn,16,undirected
summerfete,evenings,2127,undirected
summerfete,fables_holy,12,undirected
summerfete,loves_angels,151,undirected
summerfete,national,245,undirected
summerfete,sacred,21,undirected
tom_crib,anacreon,348,undirected
tom_crib,cash_corn,1155,undirected
tom_crib,corruption,869,undirected
tom_crib,fables_holy,47,undirected
tom_crib,fudges_england,403,undirected
tom_crib,fudges_paris,311,undirected
tom_crib,intercepted,387,undirected
tom_crib,sceptic,568,undirected
